timestamp,t,p_peep,p_pip,p_plat,p_aw_avg,V_tidal,f,frac_insp_O2,P_et_CO2,sat_p_O2,pulse_rate,pulse_index,C_rs_eve,R_rs_eve,R_rs_est,C_rs_est,p_peep_est,coef_determ
1551956707.7,24.18,24.016,39.096,38.729,30.874,236.123,20,100,68.589,100,88,NaN,19.073,12.847,11.566,15.102,24.078,0.993
1551956710.68,27.16,24.095,39.489,39.093,30.906,211.363,20,100,67.5,100,88,NaN,18.08,13,11.144,15.029,24.154,0.992
1551956713.68,30.16,24.005,39.5,39.1,30.9,229.381,20,100,70.904,100,88.698,NaN,18,13,11.124,15.133,24.176,0.993
1551956716.69,33.17,24.095,39.5,39.1,30.995,234.568,20,100,72.388,100,89.183,NaN,18,12.07,11.271,15.144,24.128,0.991
1551956719.68,36.16,24.004,39.5,39.1,30.905,235.652,20,100,73.159,100,90,NaN,17.07,12,11.13,15.291,24.174,0.993
1551956722.68,39.16,24.096,39.5,39.1,30.9,236.741,20,100,73.847,100,90.967,NaN,17,12,11.24,15.12,24.184,0.992
1551956725.68,42.16,24.004,39.404,39.006,30.9,236.325,20,100,74.562,100,91,NaN,17,12,11.158,15.141,24.214,0.992
1551956728.68,45.16,24.092,39.496,39.189,30.9,236.681,20,100,75.795,100,91,NaN,16.063,12,11.012,15.1,24.166,0.992
1551956731.67,48.15,24.1,39.404,39.011,30.9,236.126,20,100,76.766,100,91,NaN,16,12,11.022,15.221,24.211,0.992
1551956734.67,51.15,24.1,39.492,39,30.996,236.483,20,100,77.533,100,91.89,NaN,16,12,11,15.143,24.236,0.992
1551956737.67,54.15,24.1,39.5,39.095,31,236.884,20,100,78.239,100,92,NaN,16,12,10.997,15.302,24.199,0.991
1551956740.67,57.15,24.007,39.5,39.1,30.908,237.82,20,100,78.5,100,92,NaN,16,12,10.99,15.288,24.215,0.991
1551956743.67,60.15,24,39.593,39.196,30.9,238.454,20,100,78.943,100,92,NaN,16,12,11.027,15.232,24.2,0.992
1551956746.67,63.15,24.094,39.413,39.104,30.9,238.315,20,100,79.709,100,92.947,NaN,16,12,10.883,15.216,24.18,0.991
1551956749.66,66.14,24.006,39.494,39.1,30.9,237.649,20,100,80,100,93,NaN,16,12,10.804,15.246,24.239,0.992
1551956752.66,69.14,24.094,39.5,39.192,30.993,237.879,20,100,80.418,100,93,NaN,16,12,11.054,15.32,24.203,0.992
1551956755.65,72.13,24.1,39.5,39.015,30.906,237.993,20,100,80.7,100,93,NaN,16,12,10.878,15.204,24.278,0.992
1551956758.65,75.13,24.1,39.5,39.092,30.9,238.84,20,100,81.181,100,93,NaN,16,12,10.699,15.18,24.27,0.992
1551956761.66,78.14,24.1,39.5,39.1,30.9,239.276,20,100,81.5,100,93.347,NaN,16,11.073,10.662,15.433,24.226,0.991
1551956764.65,81.13,24.1,39.405,39.007,30.9,240.62,20,100,81.5,100,93.963,NaN,16,11,10.773,15.42,24.17,0.991
1551956767.64,84.12,24.1,39.495,39.093,30.9,240.7,20,100,81.895,100,94,NaN,16,11,10.81,15.335,24.174,0.99
1551956770.64,87.12,24.005,39.5,39.193,30.9,239.948,20,100,82.2,100,94,NaN,16,11,10.686,15.318,24.246,0.991
1551956773.65,90.13,24.096,39.404,39.012,30.9,239.14,20,100,82.2,100,94,NaN,16,11,10.842,15.333,24.189,0.991
1551956776.64,93.12,24.004,39.496,39,30.9,238.814,20,100,82.602,100,94,NaN,16,11,10.778,15.399,24.244,0.991
1551956779.63,96.11,24.092,39.5,39,30.9,238.99,20,100,82.9,100,94.347,NaN,16,11,10.634,15.303,24.3,0.992
1551956782.63,99.11,24.1,39.5,39.189,30.9,239.858,20,100,83.327,100,94.8,NaN,16,11,10.726,15.481,24.207,0.992
1551956785.63,102.11,24.1,39.5,39.105,30.992,240.952,20,100,83.7,100,95.631,NaN,16,11,10.955,15.423,24.179,0.991
1551956788.64,105.12,24.1,39.407,39.005,30.908,240.632,20,100,83.7,100,96,NaN,16,11,10.765,15.366,24.26,0.992
1551956791.64,108.12,24.1,39.493,39,30.9,239.769,20,100,83.7,100,96,NaN,16,11,10.81,15.416,24.289,0.992
1551956794.63,111.11,24.1,39.5,39,30.9,238.866,20,100,83.7,100,96,NaN,16,11,10.798,15.279,24.283,0.992
