timestamp,t,p_peep,p_pip,p_plat,p_aw_avg,V_tidal,f,frac_insp_O2,P_et_CO2,sat_p_O2,pulse_rate,pulse_index,C_rs_eve,R_rs_eve,R_rs_est,C_rs_est,p_peep_est,coef_determ
1552336482.49,44.17,24.213,39.241,38.748,30.568,263.869,20,100,68.275,100,151,NaN,22.05,10.907,9.376,16.401,24.1,0.989
1552336485.47,47.15,24.107,39.685,39.186,30.977,238.225,20,100,85.599,100,149.724,NaN,21.053,11,9.605,16.387,24.123,0.989
1552336488.46,50.14,24.194,39.7,39.296,31,256.015,20,100,89.284,100,148.229,NaN,21,10.044,9.208,16.347,24.226,0.99
1552336491.46,53.14,24.014,39.7,39.3,31,261.098,20,100,90.72,100,148,NaN,20.053,10,9.399,16.41,24.092,0.989
1552336494.47,56.15,24.094,39.606,39.116,31,260.377,20,100,91.4,100,147.957,NaN,19.043,10,9.245,16.516,24.182,0.989
1552336497.47,59.15,24.195,39.6,38.915,31,261.423,20,100,91.846,100,147.215,NaN,19,10,9.353,16.512,24.138,0.989
1552336500.46,62.14,24.011,39.694,39.177,31,260.753,20,100,92.591,100,148,NaN,18.04,10,9.277,16.47,24.139,0.989
1552336503.47,65.15,24.19,39.605,39.2,31,261.64,20,100,93.351,100,147.82,NaN,18,10,9.274,16.569,24.197,0.989
1552336506.46,68.14,24.2,39.6,39.107,31,262.454,20,100,94.116,100,147,NaN,18,10,9.259,16.676,24.141,0.989
1552336509.46,71.14,24.105,39.695,39.193,31,263.44,20,100,94.987,100,147.96,NaN,18,10,9.25,16.635,24.147,0.989
1552336512.45,74.13,24.196,39.604,39.106,31,263.5,20,100,95.759,100,147.601,NaN,18,10,9.178,16.72,24.197,0.988
1552336515.44,77.12,24.105,39.695,39.286,31,264.252,20,100,96,100,147.231,NaN,18,10,9.204,16.591,24.15,0.989
1552336518.46,80.14,24.1,39.604,39.206,31,263.823,20,100,96,100,147.133,NaN,18,10,9.253,16.398,24.295,0.989
1552336521.45,83.13,24.192,39.6,38.916,31,264.087,20,100,96,100,147.329,NaN,17.06,10,9.144,16.665,24.233,0.989
1552336524.45,86.13,23.924,39.692,39.183,31,264.386,20,100,96.466,100,147,NaN,17,10,9.308,16.632,24.129,0.988
1552336527.45,89.13,24.086,39.607,39.105,31,264.111,20,100,96.7,100,147.288,NaN,17.946,10,9.184,16.758,24.231,0.989
1552336530.44,92.12,24.193,39.693,39.005,31,264.678,20,100,96.7,100,147.191,NaN,18,10,9.22,16.668,24.219,0.989
1552336533.44,95.12,24.107,39.7,39.191,31,264.608,20,100,97.24,100,147,NaN,18,10,9.297,16.677,24.184,0.989
1552336536.45,98.13,24.194,39.607,39.2,31,264.971,20,100,97.5,100,147,NaN,18,10,9.153,16.646,24.291,0.989
1552336539.44,101.12,24.2,39.6,39.104,31,265.651,20,100,97.946,100,147,NaN,18,10,9.282,16.707,24.153,0.989
1552336542.43,104.11,24.106,39.693,39.1,31,265.607,20,100,98.2,100,147,NaN,18,10,9.221,16.684,24.219,0.989
1552336545.44,107.12,24.194,39.606,39.285,31,266.347,20,100,98.715,100,147,NaN,18,10,9.213,16.788,24.255,0.988
1552336548.43,110.11,24.295,39.6,39.115,31,266.774,20,100,99,100,147,NaN,18,10,9.123,16.873,24.164,0.988
1552336551.42,113.1,24.111,39.694,39.1,31,267.36,20,100,99,100,147,NaN,18,10,9.282,16.788,24.234,0.988
1552336554.43,116.11,24.005,39.605,39.193,31,267.964,20,100,99,100,147,NaN,18,10,9.185,16.855,24.254,0.988
1552336557.43,119.11,24.287,39.6,39.106,31,268.284,20,100,99,100,147,NaN,18,10,9.021,16.845,24.251,0.989
1552336560.43,122.11,24.109,39.695,39.193,31,269.244,20,100,99.429,100,146.483,NaN,18,10,9.204,16.825,24.224,0.989
1552336563.43,125.11,24.196,39.7,39.294,31,269.109,20,100,99.7,100,147,NaN,18,10,9.15,16.834,24.284,0.988
1552336566.42,128.1,24.104,39.7,39.112,31,269.1,20,100,99.7,100,147,NaN,18,10,9.161,16.887,24.146,0.988
1552336569.42,131.1,24.192,39.604,39.1,31,267.765,20,100,100.162,100,147,NaN,18,10,9.144,16.776,24.26,0.989
1552336572.41,134.09,24.2,39.6,39.005,31,267.796,20,100,100.5,100,147.455,NaN,18,10,9.035,16.836,24.3,0.989
1552336575.41,137.09,24.016,39.783,39.189,31,268.658,20,100,100.5,100,147.414,NaN,18,10,9.212,16.824,24.199,0.989
1552336578.42,140.1,24.093,39.615,39.2,31,269.085,20,100,100.5,100,147.377,NaN,18,10,9.328,16.917,24.222,0.988
1552336581.41,143.09,24.193,39.6,39.009,31,268.823,20,100,100.5,100,148,NaN,18,10,9.026,16.912,24.19,0.988
1552336584.41,146.09,24.107,39.693,39.191,31,268.524,20,100,100.937,100,148,NaN,18,10,9.339,16.851,24.208,0.988
1552336587.4,149.08,24.194,39.606,39.2,31,267.664,20,100,101.3,100,148,NaN,18,10,9.162,16.915,24.266,0.988
1552336590.39,152.07,24.107,39.693,39.295,31,269.073,20,100,101.3,100,148,NaN,18,10,9.336,16.891,24.194,0.988
1552336593.41,155.09,24.1,39.606,39.208,31,268.267,20,100,101.3,100,148,NaN,18,10,9.239,16.869,24.3,0.989
1552336596.4,158.08,24.195,39.6,38.922,31,268.855,20,100,101.3,100,148,NaN,18,10,9.127,17.04,24.251,0.988
