timestamp,t,p_peep,p_pip,p_plat,p_aw_avg,V_tidal,f,frac_insp_O2,P_et_CO2,sat_p_O2,pulse_rate,pulse_index,C_rs_eve,R_rs_eve,R_rs_est,C_rs_est,p_peep_est,coef_determ
1551628604.88,17.47,24.092,37.407,36.905,29.904,140.996,20,99.95,42.6,97.07,110,NaN,11,15,14.127,9.561,23.395,0.992
1551628607.85,20.44,23.917,39.498,38.774,30.66,136.713,20,100,32.771,97.24,110,NaN,11,15,13.725,9.674,23.237,0.993
1551628610.86,23.45,23.992,39.508,39.089,30.891,142.887,20,100,28.227,97.442,110,NaN,10.063,15,13.316,9.771,23.666,0.992
1551628613.85,26.44,23.908,39.592,39.1,30.9,150.087,20,100,33.108,97.573,110.02,NaN,10,15,12.924,9.907,23.707,0.992
1551628616.85,29.44,23.992,39.6,39.005,30.9,151.452,20,100,35.697,97.7,111,NaN,10,14.057,12.906,9.92,23.72,0.991
1551628619.85,32.44,23.907,39.692,39.095,30.9,152.509,20,100,36.471,97.7,111,NaN,10,14,13.199,9.804,23.545,0.992
1551628622.85,35.44,23.993,39.607,39.004,30.9,151.769,20,100,37.172,97.711,111,NaN,10,14,12.764,9.941,23.758,0.992
1551628625.84,38.43,24,39.507,39,30.9,151.608,20,100,37.94,97.995,111,NaN,10,14,12.805,10.015,23.996,0.993
1551628628.84,41.43,24,39.5,38.904,30.9,152.526,20,99.08,38.675,98.194,111,NaN,10,14,13.154,9.939,23.447,0.991
1551628631.83,44.42,24,39.5,38.996,30.9,153.434,20,99,39.443,98.2,111,NaN,10,14,13.133,9.99,23.668,0.991
1551628634.83,47.42,23.906,39.593,38.908,30.9,153.871,20,99,40.176,98.221,111.167,NaN,10,14,12.99,10.017,23.658,0.992
1551628637.83,50.42,23.9,39.506,38.9,30.9,152.97,20,99,40.4,98.403,113.98,NaN,10,14,13.162,9.961,23.625,0.991
1551628640.82,53.41,23.994,39.594,38.992,30.9,153.087,20,99,40.4,98.599,122.268,NaN,10,14,13.31,9.824,23.362,0.99
1551628643.82,56.41,24,39.6,39,30.9,151.606,20,99,40.4,98.6,128.824,NaN,10,14,13.161,9.954,23.567,0.993
1551628646.82,59.41,24.095,39.6,39,30.9,151.218,20,99,39.947,98.444,130.96,NaN,10,14,12.853,10.088,23.673,0.991
1551628649.8,62.39,24.005,39.506,39,30.9,151.668,20,99,39.184,98.4,129.87,NaN,10,14,13.135,9.947,23.255,0.991
1551628652.8,65.39,24.095,39.5,39,30.9,152.168,20,99,38.9,98.4,128.296,NaN,10,14,13.044,9.942,23.479,0.992
1551628655.8,68.39,24.1,39.595,39,30.9,151.823,20,99,38.9,98.4,126.299,NaN,10,14,12.838,10.073,23.846,0.992
1551628658.79,71.38,24.005,39.6,39.093,30.9,151.894,20,99,39.325,98.4,125.38,NaN,10,14,12.819,10.061,23.66,0.992
1551628661.78,74.37,24,39.6,39.007,30.9,152.655,20,99,40.087,98.4,124,NaN,10,14,12.864,10.044,23.534,0.991
