timestamp,t,p_peep,p_pip,p_plat,p_aw_avg,V_tidal,f,frac_insp_O2,P_et_CO2,sat_p_O2,pulse_rate,pulse_index,C_rs_eve,R_rs_eve,R_rs_est,C_rs_est,p_peep_est,coef_determ
1551609429.37,6.99,24.006,37.418,36.915,29.994,170.313,20,99,32.839,100,90.213,NaN,14,16,15.803,11.495,22.865,0.99
1551609432.35,9.97,24,39.468,38.838,30.843,162.215,20,99,40.671,100,92.559,NaN,13.04,16,14.426,11.868,23.889,0.992
1551609435.33,12.95,24.094,39.6,39.185,30.9,169.721,20,99,46.029,100,93.734,NaN,13,16,14.409,11.913,23.832,0.99
1551609438.32,15.94,24.006,39.6,39.108,30.9,179.106,20,99,49.243,100,94.86,NaN,13,16,14.48,11.89,23.438,0.99
1551609441.32,18.94,24,39.6,39.008,30.9,181.76,20,99,50.714,100,96.037,NaN,13,15.08,14.141,12.003,23.713,0.99
1551609444.32,21.94,24,39.6,39,30.9,182.273,20,99,51.45,100,98.127,NaN,12.083,15,14.213,12.018,23.67,0.99
1551609447.32,24.94,24,39.6,39.093,30.9,182.3,20,99,52.218,100,99.784,NaN,12,15,14.172,12.011,23.802,0.99
1551609450.32,27.94,24,39.6,39.1,30.9,183.243,20,99,52.5,100,100.963,NaN,12,15,13.922,12.069,23.895,0.99
1551609453.32,30.94,24,39.6,39.1,30.9,183.77,20,99,53.478,100,101,NaN,12,15,14.01,12.073,23.739,0.99
1551609456.32,33.94,24,39.6,39.1,30.9,183.705,20,99,54.43,100,99.268,NaN,12,15,13.905,12.124,23.957,0.99
1551609459.31,36.93,24.096,39.6,39.194,30.9,184.173,20,99,55.191,100,96.92,NaN,12,15,14.079,12.065,23.845,0.99
1551609462.31,39.93,24.1,39.6,39.106,30.9,183.725,20,99,56.427,100,94.312,NaN,12,15,13.962,12.059,23.617,0.989
1551609465.3,42.92,24.1,39.6,39.1,30.9,183.222,20,99,57.434,100,92.36,NaN,12,15,13.585,12.119,24.019,0.99
1551609468.29,45.91,24.1,39.6,39.006,30.9,183.865,20,99,58.194,100,90.269,NaN,12,15,13.713,12.173,23.871,0.989
1551609471.29,48.91,24.1,39.692,39.095,30.9,183.996,20,99,58.905,100,89,NaN,12,15,13.713,12.126,24.044,0.99
1551609474.29,51.91,24.1,39.7,39.1,30.9,185.435,20,99,59.2,100,88.066,NaN,12,15,13.788,12.179,23.964,0.99
1551609477.3,54.92,24.1,39.607,39.1,30.9,185.132,20,99,59.669,100,88,NaN,12,15,13.851,12.208,23.76,0.989
1551609480.28,57.9,24.1,39.6,39.004,30.9,185.192,20,99,60.41,100,88,NaN,12,14.047,13.452,12.234,23.995,0.989
1551609483.27,60.89,24.1,39.6,39.095,30.9,185.567,20,99,60.7,100,88,NaN,12,14,13.769,12.218,23.885,0.988
1551609486.27,63.89,24.007,39.693,39.196,30.9,185.415,20,99,61.171,100,88,NaN,12,14,13.635,12.201,24.01,0.99
1551609489.26,66.88,24.093,39.7,39.104,30.9,186.323,20,99,61.5,100,88.291,NaN,12,14,13.707,12.261,23.847,0.988
1551609492.26,69.88,24.007,39.607,39.1,30.9,185.938,20,99,61.884,100,89,NaN,12,14,13.532,12.274,23.872,0.99
1551609495.26,72.88,24.094,39.6,39.1,30.9,186.644,20,99,62.2,100,89,NaN,12,14,13.428,12.283,24.023,0.989
1551609498.25,75.87,24.006,39.6,39.1,30.9,187.534,20,99,62.641,100,89.558,NaN,12.953,14,13.719,12.283,23.78,0.989
1551609501.25,78.87,24.094,39.6,39.1,30.9,187.6,20,99,63,100,90.344,NaN,13,14,13.474,12.239,24.013,0.989
1551609504.25,81.87,24.006,39.694,39.192,30.9,187.6,20,99,63.481,100,91,NaN,13,14,13.719,12.148,23.913,0.989
1551609507.26,84.88,24.095,39.605,39.107,30.9,186.378,20,99,63.7,100,91,NaN,13,14,13.634,12.291,23.863,0.988
1551609510.25,87.87,24.1,39.695,39.1,30.9,186.017,20,99,63.7,100,91,NaN,13,14,13.376,12.242,24.125,0.99
1551609513.23,90.85,24.1,39.605,39.1,30.9,186.658,20,99,63.7,100,91,NaN,13,14,13.711,12.305,23.839,0.988
1551609516.22,93.84,24.1,39.695,39.007,30.9,186.324,20,99,63.7,100,91,NaN,13,14,13.462,12.294,24.055,0.99
1551609519.23,96.85,24.1,39.605,39.093,30.9,187.617,20,99,63.7,100,91.358,NaN,13,14,13.582,12.303,23.846,0.989
1551609522.24,99.86,24.1,39.6,39.194,30.9,186.845,20,99,64.228,100,92.19,NaN,13,14,13.449,12.471,23.894,0.987
1551609525.23,102.85,24.1,39.696,39.106,30.9,187.562,20,99,64.5,100,93.668,NaN,13,14,13.572,12.3,24.094,0.989
1551609528.21,105.83,24.008,39.604,39.1,30.9,187.41,20,99,64.5,100,94.448,NaN,13,14,13.699,12.34,23.801,0.988
1551609531.21,108.83,24.092,39.696,39.1,30.9,187.305,20,99,64.5,100,94.203,NaN,13,14,13.367,12.398,24.081,0.989
1551609534.2,111.82,24.1,39.608,39.005,30.9,187.969,20,99,64.5,100,93.943,NaN,13,14,13.636,12.337,23.894,0.989
1551609537.19,114.81,24.1,39.6,39.094,30.9,187.715,20,99,64.5,100,92.635,NaN,13,14,13.473,12.318,24,0.989
1551609540.2,117.82,24.1,39.6,39.1,30.9,188.37,20,99,64.936,100,92,NaN,13,14,13.581,12.309,23.98,0.988
1551609543.18,120.8,24.1,39.692,39.195,30.9,187.67,20,99,65.2,100,92.324,NaN,13,14,13.587,12.366,23.874,0.989
